"","date","zip","resp","diar","pop","hh.size","lat","long"
"1",2020-02-27,"06001",0,0,6618,1,41.7922485,-72.8546215
"2",2020-02-27,"06002",0,1,6949,2,41.852748,-72.736193
"3",2020-02-27,"06010",0,0,6295,2,41.681598,-72.940477
"4",2020-02-27,"06013",0,0,7777,1,41.7586945,-72.95751
"5",2020-02-27,"06016",0,0,8025,1,41.9068475,-72.5516315
"6",2020-02-27,"06018",0,0,8353,2,42.021107878,-73.29613924
"7",2020-02-27,"06019",0,2,9038,3,41.852411,-72.8994735
"8",2020-02-27,"06020",0,0,7409,1,41.8742965,-72.8993385
"9",2020-02-27,"06021",0,0,7938,1,42.016421379,-73.1119775
"10",2020-02-27,"06022",0,0,7138,2,41.866526,-72.920646
"11",2020-02-27,"06023",0,0,7539,1,41.6139485,-72.7205765
"12",2020-02-27,"06024",0,0,7230,2,42.021986,-73.269836
"13",2020-02-27,"06026",0,0,8688,1,41.9385965,-72.735138
"14",2020-02-27,"06027",1,0,6976,4,42.004306649,-72.913469
"15",2020-02-27,"06029",0,0,7215,2,41.907197,-72.4231275
"16",2020-02-27,"06031",0,1,7372,2,41.946962,-73.3304885
"17",2020-02-27,"06032",0,0,7960,1,41.725199,-72.8295075
"18",2020-02-27,"06033",0,0,7295,1,41.703899,-72.5461325
"19",2020-02-27,"06035",0,0,7555,1,41.960306365,-72.79614
"20",2020-02-27,"06037",1,0,6709,3,41.603448,-72.7762915
"21",2020-02-27,"06039",0,0,6303,2,41.967320505,-73.43203767
"22",2020-02-27,"06040",0,0,6193,2,41.7770485,-72.523631
"23",2020-02-27,"06043",0,0,7412,1,41.766929,-72.438478
"24",2020-02-27,"06051",0,0,8556,1,41.666649,-72.769641
"25",2020-02-27,"06052",0,0,7542,2,41.6571985,-72.8041925
"26",2020-02-27,"06053",0,0,7575,2,41.690297,-72.7906915
"27",2020-02-27,"06057",0,0,6948,2,41.85597,-73.0064315
"28",2020-02-27,"06058",0,0,8470,2,41.959432588,-73.199483
"29",2020-02-27,"06059",1,0,8048,2,41.928609,-72.916584
"30",2020-02-27,"06060",0,0,8383,2,41.996753,-72.8444925
"31",2020-02-27,"06062",0,0,8372,1,41.6738525,-72.8539445
"32",2020-02-27,"06063",0,0,5711,2,41.9320325,-72.966924
"33",2020-02-27,"06065",0,0,6607,1,41.976322423,-73.02232
"34",2020-02-27,"06066",0,0,6782,1,41.8358975,-72.4632105
"35",2020-02-27,"06067",0,0,8042,1,41.657749,-72.662687
"36",2020-02-27,"06068",0,0,8758,3,42.0082755,-73.41461884
"37",2020-02-27,"06069",0,0,8183,2,41.855067717,-73.44148419
"38",2020-02-27,"06070",0,0,6861,1,41.868613,-72.8216415
"39",2020-02-27,"06071",0,0,7242,1,41.9908563,-72.4517345
"40",2020-02-27,"06073",0,0,7504,1,41.663449,-72.554933
"41",2020-02-27,"06074",0,0,7977,2,41.833848,-72.5705325
"42",2020-02-27,"06076",0,0,6367,3,41.986640815,-72.2533375
"43",2020-02-27,"06078",0,0,9051,1,41.976171629,-72.65770167
"44",2020-02-27,"06081",0,0,8078,1,41.905697,-72.7715895
"45",2020-02-27,"06082",0,0,7339,2,41.984446,-72.5570815
"46",2020-02-27,"06084",0,0,6970,1,41.882047,-72.361168
"47",2020-02-27,"06085",0,0,7431,1,41.7468985,-72.880995
"48",2020-02-27,"06088",0,0,7568,1,41.9033475,-72.592533
"49",2020-02-27,"06089",1,2,9156,4,41.8387975,-72.831442
"50",2020-02-27,"06090",0,0,7312,2,41.9545455,-72.8658435
"51",2020-02-27,"06091",2,0,5732,4,42.002732904,-72.9820655
"52",2020-02-27,"06092",1,1,7330,4,41.861663,-72.8497045
"53",2020-02-27,"06093",0,0,7239,2,42.005542,-72.72442587
