Date,Total Count ,count_ag0_4,count5_17,count18_64,count65p
1/1/2006,210,117,19,58,16
1/2/2006,242,126,21,80,15
1/3/2006,201,91,21,79,10
1/4/2006,200,89,26,70,15
1/5/2006,211,77,23,90,21
1/6/2006,199,99,23,67,10
1/7/2006,207,104,18,73,12
1/8/2006,232,112,26,78,16
1/9/2006,221,94,28,86,13
1/10/2006,209,99,30,69,11
1/11/2006,235,97,27,95,16
1/12/2006,211,98,26,73,14
1/13/2006,237,114,23,83,17
1/14/2006,171,80,20,54,17
1/15/2006,222,124,25,61,12
1/16/2006,231,114,30,77,10
1/17/2006,244,93,43,87,21
1/18/2006,180,72,23,70,15
1/19/2006,183,92,19,52,20
1/20/2006,187,84,17,70,16
1/21/2006,190,89,17,65,19
1/22/2006,197,116,17,52,12
1/23/2006,226,105,28,80,13
1/24/2006,195,89,24,67,15
1/25/2006,187,78,24,68,17
1/26/2006,171,76,19,59,17
1/27/2006,205,96,21,73,15
1/28/2006,168,78,22,57,11
1/29/2006,237,119,35,73,10
1/30/2006,230,99,29,86,16
1/31/2006,206,82,30,77,17
2/1/2006,168,73,25,59,11
2/2/2006,198,85,30,72,11
2/3/2006,175,92,18,57,8
2/4/2006,187,97,19,58,13
2/5/2006,198,99,30,58,11
2/6/2006,212,81,34,81,16
2/7/2006,217,98,30,64,25
2/8/2006,202,95,29,64,14
2/9/2006,199,72,25,79,23
2/10/2006,194,82,25,71,16
2/11/2006,149,73,17,43,16
2/12/2006,103,55,9,34,5
2/13/2006,222,120,23,68,11
2/14/2006,210,94,28,74,14
2/15/2006,203,106,25,64,8
2/16/2006,184,85,24,67,8
2/17/2006,172,79,21,59,13
2/18/2006,176,98,14,52,12
2/19/2006,173,80,15,60,18
2/20/2006,233,111,22,85,15
2/21/2006,230,102,31,76,21
2/22/2006,202,90,18,75,19
2/23/2006,195,90,28,62,15
2/24/2006,191,94,14,64,19
2/25/2006,206,113,13,69,11
2/26/2006,208,101,17,78,12
2/27/2006,238,109,26,86,17
2/28/2006,226,100,24,76,25
